116 暴走萝莉 金克丝 http://lol.duowan.com/jinx/ http://img.dwstatic.com/lol/1310/245353650426/1381398467886.png
115 圣枪游侠 卢锡安 http://lol.duowan.com/lucian/ http://img.dwstatic.com/lol/1308/240574668479/1376619482925.png
114 暗裔剑魔 亚托克斯 http://lol.duowan.com/aatrox/ http://img.dwstatic.com/lol/1306/235048838354/1371093644361.png
113 冰霜女巫 丽桑卓 http://lol.duowan.com/lissandra/ http://img.dwstatic.com/lol/1305/231871544650/231871561051.png
112 生化魔人 扎克 http://lol.duowan.com/zac/ http://img5.dwstatic.com/lol/1303/228242985967/228242993255.png
111 德玛西亚之翼 奎因 http://lol.duowan.com/quinn/ http://img3.dwstatic.com/lol/1302/225381420352/225382419902.png
110 魂锁典狱长 锤石 http://lol.duowan.com/thresh/ http://img.dwstatic.com/lol/1301/222714364061/222714396868.png
109 皮城执法官 蔚 http://lol.duowan.com/vi/ http://pic2.duowan.com/lol/1212/219251307713/219251317038.png
108 唤潮鲛姬 娜美 http://lol.duowan.com/nami/ http://pic.duowan.com/lol/1211/218041518261/218041566099.jpg
107 影流之主 劫 http://lol.duowan.com/zed/ http://pic4.duowan.com/lol/1211/216813960863/216813987373.jpg
106 蜘蛛女皇 伊莉丝 http://lol.duowan.com/elise/ http://pic5.duowan.com/lol/1210/215627370104/215627419666.png
105 虚空掠夺者 卡'兹克 http://lol.duowan.com/khazix/ http://pic3.duowan.com/lol/1209/212665448739/212665677660.jpg
104 暗黑元首 辛德拉 http://lol.duowan.com/syndra/ http://pic3.duowan.com/lol/1208/210247342385/210247356941.png
103 傲之追猎者 雷恩加尔 http://lol.duowan.com/rengar/ http://pic5.duowan.com/lol/1208/209057869812/209057893970.jpg
102 皎月女神 黛安娜 http://lol.duowan.com/diana/ http://pic.duowan.com/lol/1208/207845244716/207847215830.jpg
101 荆棘之兴 婕拉 http://lol.duowan.com/zyra/ http://pic.duowan.com/lol/1207/207224467449/207225320108.png
